emojiname,emojicode
"man_cartwheeling","\\ud83e\\udd38\\u200D\\u2642\\uFE0F"
"woman_cartwheeling","\\ud83e\\udd38\\u200D\\u2640\\uFE0F"
"people_wrestling","\\ud83e\\udd3c"
"men_wrestling","\\ud83e\\udd3c\\u200D\\u2642\\uFE0F"
"women_wrestling","\\ud83e\\udd3c\\u200D\\u2640\\uFE0F"
"person_playing_water_polo","\\ud83e\\udd3d"
"man_playing_water_polo","\\ud83e\\udd3d\\u200D\\u2642\\uFE0F"
"woman_playing_water_polo","\\ud83e\\udd3d\\u200D\\u2640\\uFE0F"
"person_playing_handball","\\ud83e\\udd3e"
"man_playing_handball","\\ud83e\\udd3e\\u200D\\u2642\\uFE0F"
"woman_playing_handball","\\ud83e\\udd3e\\u200D\\u2640\\uFE0F"
"person_juggling","\\ud83e\\udd39"
"man_juggling","\\ud83e\\udd39\\u200D\\u2642\\uFE0F"
"woman_juggling","\\ud83e\\udd39\\u200D\\u2640\\uFE0F"
"person_in_lotus_position","\\ud83e\\uddd8"
"man_in_lotus_position","\\ud83e\\uddd8\\u200D\\u2642\\uFE0F"
"woman_in_lotus_position","\\ud83e\\uddd8\\u200D\\u2640\\uFE0F"
"person_taking_bath","\\ud83d\\udec0"
"person_in_bed","\\ud83d\\udecc"
"people_holding_hands","\\ud83e\\uddd1\\u200D\\ud83e\\udd1d\\u200D\\ud83e\\uddd1"
"women_holding_hands","\\ud83d\\udc6d"
"woman_and_man_holding_hands","\\ud83d\\udc6b"
"men_holding_hands","\\ud83d\\udc6c"
"kiss","\\ud83d\\udc8f"
"kiss_woman_man","\\ud83d\\udc69\\u200D\\u2764\\uFE0F\\u200D\\ud83d\\udc8b\\u200D\\ud83d\\udc68"
"kiss_man_man","\\ud83d\\udc68\\u200D\\u2764\\uFE0F\\u200D\\ud83d\\udc8b\\u200D\\ud83d\\udc68"
